# TOPAS Version: 3.9
# Parameter File: Source1.txt
# Results for scorer: Myscorer
# Scored in component: MyBox
# X in 1 bin  of 20 cm
# Y in 1 bin  of 20 cm
# Z in 20 bins of 1 cm
# EnergyDeposit ( MeV ) : Sum   
0, 0, 0, 3.11254358291626
0, 0, 1, 10.3265438079834
0, 0, 2, 3.129746437072754
0, 0, 3, 5.581421852111816
0, 0, 4, 2.957086563110352
0, 0, 5, 6.570812702178955
0, 0, 6, 9.676630020141602
0, 0, 7, 7.821567058563232
0, 0, 8, 11.17337131500244
0, 0, 9, 3.24881649017334
0, 0, 10, 4.037545204162598
0, 0, 11, 6.588025093078613
0, 0, 12, 14.31628513336182
0, 0, 13, 16.86980819702148
0, 0, 14, 13.41270732879639
0, 0, 15, 17.5619945526123
0, 0, 16, 20.64027976989746
0, 0, 17, 26.15775108337402
0, 0, 18, 17.77506065368652
0, 0, 19, 12.0693531036377
