# TOPAS Version: 3.9
# Parameter File: Source1.txt
# Results for scorer: DoseScorer
# Scored in component: MyBox
# X in 1 bin  of 20 cm
# Y in 1 bin  of 20 cm
# Z in 20 bins of 1 cm
# DoseToMedium ( Gy ) : Sum   
0, 0, 0, 0
0, 0, 1, 1.45832696911213e-14
0, 0, 2, 0
0, 0, 3, 0
0, 0, 4, 4.477213955481063e-13
0, 0, 5, 9.935611361422403e-13
0, 0, 6, 1.208036817280933e-12
0, 0, 7, 7.828102315671215e-14
0, 0, 8, 1.893011233335649e-14
0, 0, 9, 2.754030998478735e-13
0, 0, 10, 4.345068955243642e-13
0, 0, 11, 7.199012978624519e-13
0, 0, 12, 1.123937965266664e-12
0, 0, 13, 0
0, 0, 14, 1.259913614409802e-12
0, 0, 15, 1.539622270819996e-12
0, 0, 16, 4.622167449133685e-13
0, 0, 17, 1.728303698073086e-12
0, 0, 18, 6.361006556557247e-13
0, 0, 19, 6.617120317398834e-14
