# TOPAS Version: 3.9
# Parameter File: Simul1.txt
# Results for scorer: CountInner
# Scored on surface: Detector/InnerCurvedSurface
# R in 1 bin  of 0.1 cm
# Phi in 70 bins of 5 deg
# Z in 1 bin  of 0.2 cm
# SurfaceTrackCount : Sum   
0, 0, 0, 3
0, 1, 0, 2
0, 2, 0, 4
0, 3, 0, 3
0, 4, 0, 5
0, 5, 0, 6
0, 6, 0, 5
0, 7, 0, 2
0, 8, 0, 7
0, 9, 0, 6
0, 10, 0, 4
0, 11, 0, 3
0, 12, 0, 3
0, 13, 0, 5
0, 14, 0, 2
0, 15, 0, 0
0, 16, 0, 0
0, 17, 0, 10
0, 18, 0, 16
0, 19, 0, 20
0, 20, 0, 28
0, 21, 0, 31
0, 22, 0, 44
0, 23, 0, 52
0, 24, 0, 94
0, 25, 0, 118
0, 26, 0, 241
0, 27, 0, 343
0, 28, 0, 599
0, 29, 0, 1220
0, 30, 0, 2813
0, 31, 0, 8187
0, 32, 0, 33996
0, 33, 0, 295773
0, 34, 0, 4395145
0, 35, 0, 4394873
0, 36, 0, 295441
0, 37, 0, 33936
0, 38, 0, 8302
0, 39, 0, 2728
0, 40, 0, 1333
0, 41, 0, 606
0, 42, 0, 347
0, 43, 0, 226
0, 44, 0, 111
0, 45, 0, 90
0, 46, 0, 64
0, 47, 0, 33
0, 48, 0, 34
0, 49, 0, 23
0, 50, 0, 18
0, 51, 0, 20
0, 52, 0, 10
0, 53, 0, 0
0, 54, 0, 0
0, 55, 0, 0
0, 56, 0, 3
0, 57, 0, 2
0, 58, 0, 5
0, 59, 0, 4
0, 60, 0, 3
0, 61, 0, 8
0, 62, 0, 3
0, 63, 0, 1
0, 64, 0, 2
0, 65, 0, 5
0, 66, 0, 4
0, 67, 0, 5
0, 68, 0, 1
0, 69, 0, 3
